BLDG_ID,SqFtCd,SqFt_est,POS_Landuse,sectorid,POS_StateClass,POS_StateClassCd,center_x,center_y
317,UNDER 5000SF,1777.219873,,1,RESIDENTIAL,A1,-95.3526,29.76921
630,UNDER 5000SF,2179.123515,,1,RESIDENTIAL,A1,-95.3526,29.76901
1132,UNDER 5000SF,2127.308579,,1,RESIDENTIAL,A1,-95.3525,29.76926
1277,UNDER 5000SF,4427.082666,,1,RESIDENTIAL,A1,-95.3545,29.76754
1328,UNDER 5000SF,1467.869286,,1,RESIDENTIAL,A1,-95.3526,29.76871
104,UNDER 5000SF,2055.730553,,0,RESIDENTIAL,A1,-95.3547,29.75101
106,UNDER 5000SF,1161.073648,,0,RESIDENTIAL,A1,-95.3582,29.7411
109,UNDER 5000SF,4141.999701,,0,RESIDENTIAL,A1,-95.3611,29.74071
110,UNDER 5000SF,1776.178483,,0,RESIDENTIAL,A1,-95.3614,29.73946
111,,5530.625253,,0,RESIDENTIAL,A1,-95.3466,29.76002
112,UNDER 5000SF,1768.930767,,0,RESIDENTIAL,A1,-95.3624,29.74142
114,,5893.511559,,0,RESIDENTIAL,A1,-95.3636,29.74076
119,UNDER 5000SF,1998.900457,,0,RESIDENTIAL,A1,-95.3672,29.74168
121,UNDER 5000SF,2020.478015,,0,RESIDENTIAL,A1,-95.3677,29.74198
128,UNDER 5000SF,2722.250647,MULTIFAMILY,0,RESIDENTIAL,A1,-95.3618,29.73901
130,UNDER 5000SF,1912.601578,,0,RESIDENTIAL,A1,-95.3642,29.7398
131,UNDER 5000SF,4870.20259,,0,RESIDENTIAL,A1,-95.3764,29.75623
133,,12847.51197,,0,RESIDENTIAL,A1,-95.3774,29.75684
134,UNDER 5000SF,3474.948317,,0,RESIDENTIAL,A1,-95.366,29.74169
137,,6635.677477,,0,RESIDENTIAL,A1,-95.3781,29.75486
138,UNDER 5000SF,809.8469026,,0,RESIDENTIAL,A1,-95.3784,29.75591
141,UNDER 5000SF,1117.977873,,0,RESIDENTIAL,A1,-95.3697,29.74512
148,UNDER 5000SF,366.3530545,,0,RESIDENTIAL,A1,-95.3779,29.75497
150,UNDER 5000SF,826.9164258,,0,RESIDENTIAL,A1,-95.3785,29.75718
151,UNDER 5000SF,3088.31498,,0,RESIDENTIAL,A1,-95.3785,29.75621
153,UNDER 5000SF,785.9807194,,0,RESIDENTIAL,A1,-95.3578,29.74548
154,UNDER 5000SF,1967.557536,,0,RESIDENTIAL,A1,-95.3578,29.74802
157,UNDER 5000SF,2250.233175,,0,RESIDENTIAL,A1,-95.3617,29.74142
158,UNDER 5000SF,1465.2797,,0,RESIDENTIAL,A1,-95.3634,29.74005
169,UNDER 5000SF,1024.561641,,0,RESIDENTIAL,A1,-95.3556,29.74381
171,UNDER 5000SF,4150.045853,,0,RESIDENTIAL,A1,-95.3562,29.74438
172,UNDER 5000SF,1255.083134,,0,RESIDENTIAL,A1,-95.3578,29.74115
174,UNDER 5000SF,1972.921333,,0,RESIDENTIAL,A1,-95.3617,29.74218
175,UNDER 5000SF,2260.277684,,0,RESIDENTIAL,A1,-95.3619,29.74129
176,UNDER 5000SF,546.7475082,,0,RESIDENTIAL,A1,-95.364,29.74108
178,UNDER 5000SF,1734.039492,,0,RESIDENTIAL,A1,-95.367,29.74345
