STYLE1,SQFT,STYLE2,BLDG_ID,sectorid,state_clas,center_x,center_y
,18575.8191497,,103,1,X1,-95.353524,29.766377999999996
,5670.39097511,COMMERCIAL,120,1,F1,-95.35482091168949,29.76803454220169
UNDER 5000SF,1571.23517052,MULTIFAMILY,123,1,B1,-95.35719201383125,29.766460340248965
,36231.8957438,MULTIFAMILY,188,1,B1,-95.35391492357232,29.767871182890968
UNDER 5000SF,2162.46452587,COMMERCIAL,246,1,C2,-95.35408505863414,29.768316292130233
UNDER 5000SF,681.08657737,COMMERCIAL,305,1,F1,-95.3536746764083,29.7686674798814
UNDER 5000SF,640.652787643,COMMERCIAL,308,1,F1,-95.35651849999999,29.767034500000005
UNDER 5000SF,1777.21987295,,317,1,A1,-95.3526330753149,29.76920524763018
,18883.0360854,,321,1,X1,-95.35437428283693,29.766144175374702
UNDER 5000SF,4612.38755267,COMMERCIAL,323,1,F1,-95.35521641917677,29.767823147323963
,10565.4990484,COMMERCIAL,374,1,F1,-95.35306430716386,29.768360493291546
,11348.2914456,,390,1,X1,-95.35714399999999,29.7637935
,17037.7637086,,430,1,,-95.35101534681421,29.768074553127196
,18664.9526995,,433,1,X1,-95.35462367626468,29.7664154947837
,21554.2804375,COMMERCIAL,482,1,F1,-95.35166528248922,29.76902805077718
,14022.7387624,COMMERCIAL,499,1,F1,-95.3530043245615,29.768879192572747
,5513.58363558,,531,1,X1,-95.35719638326952,29.765746823978155
UNDER 5000SF,4090.85493639,,577,1,X1,-95.35183075262674,29.76845852946431
UNDER 5000SF,2179.12351536,,630,1,A1,-95.35259149999999,29.769012999999998
UNDER 5000SF,1648.8062055,COMMERCIAL,724,1,F1,-95.35076824823291,29.768325905941637
UNDER 5000SF,4428.34781802,COMMERCIAL,725,1,F1,-95.35230862399845,29.7689692537294
UNDER 5000SF,770.259260615,,726,1,J3,-95.35271750000001,29.764115999999994
UNDER 5000SF,2578.64569279,COMMERCIAL,753,1,F1,-95.35746549999999,29.767227000000002
,111621.052537,,770,1,X1,-95.35607304179938,29.76333715050194
UNDER 5000SF,728.947318044,,794,1,J3,-95.3527735,29.7642085
,14380.9452946,,795,1,X1,-95.35597018999246,29.765735984722287
,18507.4579774,,813,1,X1,-95.35377299999998,29.766649
,20690.0452087,MULTIFAMILY,814,1,B1,-95.35385593900007,29.767173433633467
UNDER 5000SF,1707.5658646,MULTIFAMILY,816,1,B1,-95.35734699999999,29.766757000000002
UNDER 5000SF,665.537373813,,834,1,J3,-95.35292221751193,29.764307448981363
,14322.1487703,,857,1,X1,-95.35275881016646,29.766587515069723
,18309.5836036,COMMERCIAL,880,1,F1,-95.3546265,29.767167500000006
,12495.2237514,COMMERCIAL,908,1,,-95.35149360266516,29.76786836059897
,35752.6844431,COMMERCIAL,910,1,C2,-95.3567681890199,29.767361741630747
,14381.7894576,,934,1,X1,-95.35530946974127,29.765887295779226
UNDER 5000SF,4864.99196004,MULTIFAMILY,952,1,B1,-95.35371349999998,29.767514499999997
UNDER 5000SF,233.663954721,COMMERCIAL,1007,1,F1,-95.3536785,29.768580499999995
,17023.6371122,MULTIFAMILY,1013,1,Z4,-95.35688685019893,29.76663620386726
UNDER 5000SF,2663.34603459,,1055,1,J3,-95.352477,29.762672000000002
UNDER 5000SF,337.635031668,COMMERCIAL,1057,1,F1,-95.35659694417863,29.76705419776715
UNDER 5000SF,2301.51852502,,1103,1,J3,-95.35245322570132,29.762782534115505
UNDER 5000SF,1091.44180982,,1130,1,X1,-95.35739552168243,29.76584430901658
UNDER 5000SF,2127.30857948,,1132,1,A1,-95.35245849999998,29.769264000000003
UNDER 5000SF,1435.81670392,,1174,1,J3,-95.35225517637132,29.762775415189875
,71745.6019327,,1221,1,X1,-95.35456512430221,29.76392382673786
